airbnb_id,beds,is_rebookable,is_business_travel_ready,is_family_preferred,is_superhost,picture_count,lat,lng,localized_city,localized_neighborhood,name,person_capacity,reviews_count,room_type,space_type,star_rating,can_instant_book,monthly_price_factor,rate_amount,rate_amount_formatted,rate_amount_micros,rate_currency,weekly_price_factor,state
15394407,1,0,0,0,0,4,30.24221352,-97.78312488,Austin,South Lamar,Cozy Austin Condo in 78704,3,5,Entire home/apt,Entire apartment,5,0,0.65,93,$93 ,,USD,0.9,TX
15395320,1,0,0,0,1,23,30.34271402,-97.71520968,Austin,,LA VILLA Central Austin,2,35,Entire home/apt,Entire house,5,1,0.8,79,$79 ,,USD,0.9,TX
15397713,2,0,0,0,0,1,30.40923732,-97.72227851,Austin,Mesa Park,Walk to train and there domain,2,0,Private room,Private room,,0,1,55,$55 ,,USD,1,TX
15398584,5,0,0,0,0,21,30.26805633,-97.71601578,Austin,,Book now for SXSW- Spacious East-Side Home,10,3,Entire home/apt,Entire house,5,0,0.7,1500,"$1,500 ",,USD,1,TX
15401847,1,0,0,0,1,2,30.27204498,-97.71480578,Austin,,Downtown TENT for SXSW!!!,1,10,Shared room,Shared room,5,0,1,39,$39 ,,USD,1,TX
15411713,4,0,0,0,0,32,30.23204931,-97.73697065,Austin,Parker Lane,"Centrally located 3 BD, 2 Bath",7,73,Entire home/apt,Entire house,5,0,0.75,74,$74 ,,USD,0.85,TX
15417468,1,0,0,0,0,7,30.1792735,-97.76170768,Austin,,Quaint house in southeast Austin!,2,12,Private room,Private room,5,0,1,40,$40 ,,USD,0.9,TX
15422444,2,0,0,0,0,4,30.22503271,-97.74169394,Austin,Parker Lane,2B/2B Easy Access to downtown Austin,6,19,Entire home/apt,Entire apartment,4.5,0,1,150,$150 ,,USD,1,TX
15422675,1,0,0,0,1,40,30.28344131,-97.77420014,Austin,,Vintage Airstream - 1974 Tradewind | Land Yacht |,2,10,Entire home/apt,Entire camper/RV,5,1,0.8,45,$45 ,,USD,0.9,TX
15425423,4,0,1,0,0,22,30.26501827,-97.74278926,Austin,Downtown,The Bardot Hotel Suite Downtown ATX,6,28,Entire home/apt,Entire condominium,5,0,0.9,229,$229 ,,USD,0.95,TX
15443691,2,0,0,0,0,15,30.1957011,-97.72998812,Austin,McKinney,Close to everything and cozy !!,4,0,Private room,Private room,,0,1,200,$200 ,,USD,1,TX
15450282,1,0,0,0,0,5,30.29799884,-97.67939307,Austin,,Easy access to downtown and UT,2,6,Private room,Private room,4.5,1,0.95,29,$29 ,,USD,0.97,TX
15453580,3,0,0,0,0,16,30.31312211,-97.7107579,Austin,,53rd St. Garden Bungalow Near Downtown,6,1,Entire home/apt,Entire house,,0,1,270,$270 ,,USD,1,TX
15455621,1,0,0,0,0,11,30.31242376,-97.7107033,Austin,,Peaceful Room with King Bed & Private Bath Near DT,2,0,Private room,Private room,,0,1,75,$75 ,,USD,1,TX
15463618,3,0,0,0,0,25,30.255057,-97.7516821,Austin,,Modern 2 bedroom on South First!,6,5,Entire home/apt,Entire apartment,5,0,1,160,$160 ,,USD,1,TX
15471021,2,0,0,0,0,10,30.20109594,-97.77157721,Austin,East Congress,South Austin apartment,5,1,Entire home/apt,Entire apartment,,0,0.5,200,$200 ,,USD,0.75,TX
15485472,9,0,1,0,1,74,30.2833113,-97.75886695,Austin,Clarksville,"Private, comfy, BEST LOCATION, parties, families!",12,60,Entire home/apt,Entire apartment,5,1,0.9,77,$77 ,,USD,0.9,TX
15485824,1,0,0,0,1,10,30.31125173,-97.72320708,Austin,Hyde Park,Modern Hyde Park Studio,2,89,Entire home/apt,Entire guesthouse,5,0,1,84,$84 ,,USD,0.9,TX
15494486,5,0,0,0,0,44,30.29470276,-97.7768048,Austin,Tarrytown,"Large home with pool, putting green, & poker cabin",8,14,Entire home/apt,Entire house,5,1,1,595,$595 ,,USD,1,TX
15496036,10,0,0,1,0,18,30.29837769,-97.74267429,Austin,University of Texas,Alamo House walk to campus,12,2,Entire home/apt,Entire house,,0,1,1100,"$1,100 ",,USD,0.7,TX
15497038,2,0,1,0,1,12,30.25925617,-97.73888453,Austin,Rainey Street,Rainey: 1BR/1BA King Suite | Balcony (B),3,15,Entire home/apt,Entire apartment,5,1,0.65,145,$145 ,,USD,0.75,TX
15498016,3,0,0,0,0,15,30.22223097,-97.69293116,Austin,Montopolis,"3 bed/3 bath Home Near F1, Airport & Downtown",6,24,Entire home/apt,Entire house,5,0,0.8,215,$215 ,,USD,0.88,TX
15500481,1,0,0,0,1,26,30.26723468,-97.75546507,Austin,Downtown,Luxury Downtown Apt near Lake w/ Amazing Amenities,2,9,Entire home/apt,Entire condominium,5,1,1,228,$228 ,,USD,1,TX
15512980,3,0,1,0,0,11,30.14116949,-97.79060076,Austin,,The Austin Oasis,8,20,Entire home/apt,Entire house,5,1,0.6,400,$400 ,,USD,0.8,TX
15512987,8,0,1,0,1,15,30.34789802,-97.78076302,Austin,Cat Mountian,Luxurious Modern Hill Country House With A View,12,11,Entire home/apt,Entire house,5,0,0.3,640,$640 ,,USD,0.6,TX
15517911,4,0,0,0,0,13,30.29293826,-97.77393408,Austin,,Tarrytown Storybook Guesthouse,6,1,Entire home/apt,Entire house,,0,0.4,550,$550 ,,USD,0.8,TX
